ticker,name,sp_rating,ordinal,sigma_V,DD,PD_rn,PD_rw,pd_risk_neutral
MSFT,Microsoft Corp,AAA,1,0.3173400019308305,16.949749633740943,3.24923592420911e-66,9.663753676823821e-65,3.24923592420911e-66
JNJ,Johnson & Johnson,AAA,1,0.17832409048423598,20.393254612325233,2.6520216087214034e-74,9.597127717022248e-93,2.6520216087214034e-74
AAPL,Apple Inc,AA+,2,0.24837109850883554,19.605176900045198,1.2676366122284756e-76,6.983290093291148e-86,1.2676366122284756e-76
GOOG,Alphabet Inc,AA+,2,0.3097420033642869,13.205886209789883,3.110205336007276e-32,4.056956687659245e-40,3.110205336007276e-32
PG,Procter & Gamble,AA-,4,0.1845313895185679,14.675004699862582,1.0020334796478111e-51,4.660455066470384e-49,1.0020334796478111e-51
GM,General Motors,BBB,9,0.130611930406088,5.02085597935442,1.6187722979172643e-05,2.572086008303798e-07,1.6187722979172643e-05
LUV,Southwest Airlines,BBB,9,0.4042241400415552,6.817714229805855,1.0327331787561874e-10,4.625020413807826e-12,1.0327331787561874e-10
F,Ford Motor Co,BBB-,10,0.11448741753572321,3.4699945213879473,0.000563170536665493,0.0002602344904960916,0.000563170536665493
DAL,Delta Air Lines,BBB-,10,0.32979883721434217,6.936441826705522,2.74429429091104e-10,2.010493561712625e-12,2.74429429091104e-10
BA,Boeing Co,BBB-,10,0.2900004066593557,6.387362675105949,8.650494796994792e-12,8.438552399258237e-11,8.650494796994792e-12
AAL,American Airlines,B+,14,0.26326038704148774,2.9349727343117697,0.001471654194215464,0.0016678849907875218,0.001471654194215464
CLF,Cleveland-Cliffs,B+,14,0.4551376202723422,2.024258515160123,0.02340984308188939,0.021471779834183587,0.02340984308188939
COTY,Coty Inc,B+,14,0.3222450344350391,2.0189201936377605,0.002343260968932846,0.021747757497953112,0.002343260968932846
RIG,Transocean Ltd,CCC+,17,0.3020059257748988,3.932907644987548,0.0015456072481028241,4.1962244232614414e-05,0.0015456072481028241
